t,u,y,r
0.0,0.0,0.0,0.0
0.01,10.999266681333195,0.0,0.0999933334666654
0.02,11.157287232020577,0.007673456216846579,0.1999466709331708
0.03,11.442990252260108,0.021220118623081454,0.299820032397223
0.04,12.057496763078696,0.03715217546681055,0.3995734698458635
0.05,12.618383580522343,0.055758654846170555,0.4991670832341408
0.060000000000000005,13.152024183663505,0.07704796828544713,0.5985610364445969
0.07,13.626429490832809,0.10134737458057747,0.6977155732211825
0.08,14.085688255912142,0.1285264408055757,0.7965910330712299
0.09,14.511450630162361,0.15862745650658977,0.8951478671291209
0.09999999999999999,14.898046238741305,0.1917420964090764,0.993346653975306
0.10999999999999999,15.264552386509614,0.2277564609959028,1.0911481154043465
0.11999999999999998,15.581308810983659,0.26685334705085934,1.1885131321356728
0.12999999999999998,15.88282306993625,0.308853431054373,1.2854027594607753
0.13999999999999999,16.14062057339583,0.3538619266125889,1.3817782428205685
0.15,16.367261481138847,0.4018514027267405,1.4776010333066978
0.16,16.556966824422847,0.45285089984904814,1.5728328030805887
0.17,16.727106675470672,0.5066981550772052,1.667435460704072
0.18000000000000002,16.850617387358703,0.5635136998740226,1.7613711663754499
0.19000000000000003,16.95076764118975,0.6231728745559302,1.8546023470649136
0.20000000000000004,17.017978433438827,0.6856452198605043,1.947091711543253
0.21000000000000005,17.055464497282706,0.7508600676207068,2.0388022652978512
0.22000000000000006,17.059490388906422,0.8187895855000641,2.1296973253299987
0.23000000000000007,17.03342290560567,0.8893741874323751,2.2197405348275994
0.24000000000000007,16.980175064948824,0.9625315286726464,2.308895877707415
0.25000000000000006,16.89531593248904,1.0382084410615762,2.3971276930210155
0.26000000000000006,16.786705558212425,1.1162887544036528,2.484400689218684
0.2700000000000001,16.650831319371026,1.196689634908085,2.5706799582655657
0.2800000000000001,16.487207511157674,1.279332964175511,2.6559309896044176
0.2900000000000001,16.29683494695141,1.3641328717887578,2.7401196839593682
0.3000000000000001,16.079889231089126,1.4510044523328458,2.823212366975177
0.3100000000000001,15.844105214792314,1.539794488676918,2.905175802686526
0.3200000000000001,15.582792871608568,1.6304191105857644,2.985977206811961
0.3300000000000001,15.29151959849089,1.7228392260720484,3.06558425986717
0.34000000000000014,14.985753683606042,1.8168716710696484,3.1439651200923437
0.35000000000000014,14.663422400311186,1.9123621012175296,3.221088436188456
0.36000000000000015,14.309574294958587,2.009306159102598,3.296923359857367
0.37000000000000016,13.954437197546111,2.107412588575635,3.371439558140726
0.38000000000000017,13.552797720201978,2.206837284273021,3.444607225552758
0.3900000000000002,13.130186350658489,2.3074874104735796,3.5163970960020525
0.4000000000000002,12.751692246136777,2.4086487755609145,3.586780454497615
0.4100000000000002,12.314123489310807,2.5106315492708084,3.6557291486344807
0.4200000000000002,11.862204594011242,2.613308537265591,3.7232155998542984
0.4300000000000002,11.416154752404784,2.71636528900175,3.7892128144763864
0.4400000000000002,10.927986458946988,2.8199680913674796,3.8536943944948474
0.45000000000000023,10.423296980244366,2.9240347625480094,3.9166345481374183
0.46000000000000024,9.979947354744075,3.027730527492299,3.9780081001818317
0.47000000000000025,9.465854338439556,3.1315378962132057,4.037790502025572
0.48000000000000026,8.965463268118109,3.235110072838767,4.095957841504993
0.49000000000000027,8.431356964636025,3.3385807533749077,4.152486852459854
